Artist,Date,Venue,City,Country
Charli xcx,2025-04-04,Parque Fundidora,Monterrey,Mexico
Charli xcx,2025-04-04,Parque Fundidora,Monterrey,Mexico
Charli xcx,2025-04-04,Parque Fundidora,Monterrey,Mexico
Charli xcx,2025-04-04,Parque Fundidora,Monterrey,Mexico
Charli xcx,2025-04-05,Parque Bicentenario Ciudad de México,Cdmx,Mexico
Charli xcx,2025-04-05,Parque Bicentenario Ciudad de México,Cdmx,Mexico
Charli xcx,2025-04-05,Parque Bicentenario Ciudad de México,Cdmx,Mexico
Charli xcx,2025-04-05,Parque Bicentenario Ciudad de México,Cdmx,Mexico
Charli xcx,2025-04-05,Parque Bicentenario Ciudad de México,Cdmx,Mexico
Charli xcx,2025-04-05,Parque Bicentenario Ciudad de México,Cdmx,Mexico
Charli xcx,2025-04-22,Moody Center ATX,Austin,United States Of America
Charli xcx,2025-04-23,Moody Center ATX,Austin,United States Of America
Charli xcx,2025-04-26,Target Center,Minneapolis,United States Of America
Charli xcx,2025-04-28,Allstate Arena,Rosemont,United States Of America
Charli xcx,2025-04-30,Barclays Center,Brooklyn,United States Of America
Charli xcx,2025-05-01,Barclays Center,Brooklyn,United States Of America
Charli xcx,2025-05-03,Barclays Center,Brooklyn,United States Of America
Charli xcx,2025-05-04,Barclays Center,Brooklyn,United States Of America
Charli xcx,2025-06-14,Victoria Park London,London,Great Britain
Charli xcx,2025-06-14,Heaton Park,Manchester,Great Britain
Peach Pit,2025-02-04,Royal Theatre,Victoria,Canada
Peach Pit,2025-02-04,Royal Theater-BC,Victoria,Canada
Peach Pit,2025-02-05,Royal Theatre,Victoria,Canada
Peach Pit,2025-02-05,Royal Theater-BC,Victoria,Canada
Peach Pit,2025-02-07,Grey Eagle Event Centre,Calgary,Canada
Peach Pit,2025-02-08,Edmonton Convention Centre,Edmonton,Canada
Peach Pit,2025-02-10,TCU Place,Saskatoon,Canada
Peach Pit,2025-02-10,TCU Place,Saskatoon,Canada
Peach Pit,2025-02-11,Burton Cummings Theatre,Winnipeg,Canada
Peach Pit,2025-02-14,LONDON MUSIC HALL,London,Canada
Peach Pit,2025-02-15,MTELUS,Montreal,Canada
Peach Pit,2025-02-28,Freo.Social,Fremantle,Australia
Peach Pit,2025-03-02,The Fortitude Music Hall,Brisbane,Australia
Peach Pit,2025-03-09,The Powerstation,Auckland,New Zealand
Peach Pit,2025-04-03,O2 Academy Bristol,Bristol,Great Britain
Peach Pit,2025-04-04,Rock City,Nottingham,Great Britain
Peach Pit,2025-04-07,3Olympia Theatre,Dublin,Ireland
Peach Pit,2025-04-09,O2 Academy Leeds,Leeds,Great Britain
Peach Pit,2025-04-10,Manchester Academy,Manchester,Great Britain
Peach Pit,2025-04-11,O2 Academy Brixton,London,Great Britain
Clairo,2025-03-03,3Olympia Theatre,Dublin,Ireland
Clairo,2025-03-04,3Olympia Theatre,Dublin,Ireland
Clairo,2025-03-13,Eventim Apollo,London,Great Britain
Clairo,2025-03-14,Eventim Apollo,London,Great Britain
Clairo,2025-03-16,O2 Academy Glasgow,Glasgow,Great Britain
Clairo,2025-03-17,O2 Academy Glasgow,Glasgow,Great Britain
Clairo,2025-03-19,O2 Apollo Manchester,Manchester,Great Britain
Clairo,2025-03-20,O2 Apollo Manchester,Manchester,Great Britain
Clairo,2025-07-05,Hyde Park,London,Great Britain
Clairo,2025-07-05,Hyde Park,London,Great Britain
Sabrina Carpenter,2025-03-03,3Arena,Dublin,Ireland
Sabrina Carpenter,2025-03-04,3Arena,Dublin,Ireland
Sabrina Carpenter,2025-03-06,Utilita Arena Birmingham,Birmingham,Great Britain
Sabrina Carpenter,2025-03-08,The O2,London,Great Britain
Sabrina Carpenter,2025-03-09,The O2,London,Great Britain
Sabrina Carpenter,2025-03-09,O2 Arena - London,Greenwich,United Kingdom
Sabrina Carpenter,2025-03-11,OVO Hydro,Glasgow,Great Britain
Sabrina Carpenter,2025-03-13,Co-op Live,Manchester,Great Britain
Sabrina Carpenter,2025-03-14,Co-op Live,Manchester,Great Britain
Sabrina Carpenter,2025-03-19,Uber Arena,Berlin,Germany
Sabrina Carpenter,2025-03-19,Uber Arena,Berlin,Germany
Sabrina Carpenter,2025-03-19,Uber Arena,Berlin,Germany
Sabrina Carpenter,2025-03-19,Uber Arena,Berlin,Germany
