name,id,popularity,genres
Charli xcx,25uiPmTg16RbhZWAqwLBy5,87,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']"
Peach Pit,6fC2AcsQtd9h4BWELbbire,64,"['pov: indie', 'vancouver indie']"
Clairo,3l0CmX0FuQjFxr8SK7Vqag,82,"['bedroom pop', 'indie pop', 'pov: indie']"
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,94,['pop']
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,90,['classic oklahoma country']
Magdalena Bay,1oPRcJUkloHaRLYx0olBLJ,69,['la pop']
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,82,"['bedroom pop', 'bubblegrunge', 'indie pop', 'pov: indie']"
The Marías,2sSGPbdZJkaSE2AbcGOACx,80,"['bedroom pop', 'la indie']"
Fred again..,4oLeXFyACqeem2VImYeBFe,79,"['edm', 'house', 'stutter house']"
Still Woozy,4iMO20EPodreIaEl8qW66y,68,"['bedroom pop', 'oakland indie', 'pov: indie']"
Laufey,7gW0r5CkdEUMm42w9XpyZO,84,['gen z singer-songwriter']
The 1975,3mIj9lX2MWuHmhNCA7LSCW,78,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']"
Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,77,"['modern rock', 'rock']"
John Summit,7kNqXtgeIwFtelmRjWv205,74,['house']
Frank Ocean,2h93pZq0e7k5yf4dywlkpM,89,"['lgbtq+ hip hop', 'neo soul']"
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,79,"['alternative pop rock', 'pov: indie']"
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,88,['indie pop']
The Last Dinner Party,5SHgclK1ZpTdfdAmXW7J6s,66,['indie pop']
Tame Impala,5INjqkS1o8h1imAzPqGZBb,81,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,88,['pop']
